Order_Date,Ship_Mode,Segment,City,State,Region,Category,Sub_Category,Sales,Month,Quarter
2017-06-20,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45.0,6,2
2017-06-20,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,6,2
2016-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,4,2
2016-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,4,2
2016-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,4,2
2016-04-18,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,4,2
2017-12-11,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,12,4
2017-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,2
2017-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,6,2
2017-06-17,First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,6,2
2017-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,6,2
2017-06-17,First Class,Consumer,Troy,New York,East,Technology,Accessories,30.0,6,2
2017-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,6,2
2017-06-17,First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,6,2
2016-11-24,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,11,4
2016-11-24,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,11,4
2016-11-24,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,11,4
2016-11-24,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,11,4
2016-04-30,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,4,2
2015-12-05,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,12,4
2017-06-04,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,6,2
2017-09-18,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,9,3
2018-09-14,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,9,3
2016-04-26,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,4,2
2016-04-26,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,4,2
2018-12-09,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,12,4
2018-12-09,First Class,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,12,4
2018-12-09,First Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,12,4
2015-11-26,Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,11,4
2017-06-12,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,6,2
2017-06-12,First Class,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,6,2
2015-10-12,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,10,4
2015-10-12,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,10,4
2016-09-03,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,9,3
2018-11-13,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,11,4
2018-05-28,Second Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,5,2
2018-10-26,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,10,4
2018-10-26,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,10,4
2017-04-05,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,4,2
2017-09-17,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,9,3
2017-09-17,Standard Class,Corporate,Los Angeles,California,West,Technology,Phones,73.584,9,3
2017-09-17,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,9,3
2016-01-31,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,1,1
2016-01-31,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,1,1
2016-01-31,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,1,1
2018-11-06,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,11,4
2018-11-09,Second Class,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,11,4
2018-06-17,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,6,2
2017-09-06,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,9,3
2017-08-29,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,8,3
2017-08-29,Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,8,3
2017-08-29,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,8,3
2017-12-01,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,12,4
2016-11-13,Standard Class,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,11,4
2016-11-13,Standard Class,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,11,4
2016-11-13,Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,11,4
2018-11-23,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,11,4
2018-11-23,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,11,4
2018-11-23,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,11,4
2016-10-15,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,10,4
2018-12-25,Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,12,4
2017-11-03,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,11,4
2017-11-03,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,11,4
2015-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,8,3
2015-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,8,3
2015-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,8,3
2015-08-25,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,8,3
2016-04-05,Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.794,4,2
2017-06-12,First Class,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,6,2
2017-06-12,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,6,2
2017-06-12,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,2
2017-06-12,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,6,2
2017-06-12,First Class,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,6,2
2018-11-05,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,11,4
2018-11-05,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,11,4
2017-11-06,Second Class,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,11,4
2017-11-06,Second Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,11,4
2018-02-02,First Class,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,2,1
2018-02-02,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,1
2018-02-02,First Class,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,2,1
2017-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,10,4
2017-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,10,4
2017-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,11.52,10,4
2017-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,10,4
2017-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,10,4
2017-10-13,Standard Class,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,10,4
2017-10-13,Standard Class,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,10,4
2017-09-05,Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,9,3
2018-09-18,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,9,3
2018-09-18,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,9,3
2018-09-18,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,9,3
2015-10-22,Standard Class,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,10,4
2017-12-05,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,12,4
2017-12-05,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,12,4
2017-12-05,Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,12,4
2017-03-13,First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,3,1
2017-03-13,First Class,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,3,1
2016-05-31,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,5,2
2016-05-31,First Class,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,5,2
2016-05-31,First Class,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,5,2
2016-05-28,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,5,2
2015-03-01,Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,3,1
2017-11-20,Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,11,4
2017-05-11,First Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,5,2
2016-12-28,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,12,4
2017-11-16,Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,11,4
2017-11-07,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,27.68,11,4
2015-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,9.936,9,3
2015-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,275.928,9,3
2015-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Art,32.064,9,3
2015-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,177.98,9,3
2015-09-08,Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,143.976,9,3
2015-08-05,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,20.94,8,3
2015-08-05,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,110.96,8,3
2015-08-05,Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,340.144,8,3
2015-09-14,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Appliances,52.448,9,3
2015-09-14,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,20.16,9,3
2018-04-21,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,97.264,4,2
2016-11-21,Second Class,Consumer,Newark,Ohio,East,Furniture,Chairs,396.802,11,4
2016-11-21,Second Class,Consumer,Newark,Ohio,East,Office Supplies,Supplies,15.88,11,4
2016-12-15,Standard Class,Home Office,New York City,New York,East,Office Supplies,Art,3.28,12,4
2015-12-05,Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,Storage,24.816,12,4
2015-12-05,Second Class,Corporate,Decatur,Illinois,Central,Technology,Accessories,408.744,12,4
2015-11-19,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,11,4
2015-11-19,Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29.0,11,4
2017-11-28,Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,7.16,11,4
2015-08-26,Standard Class,Home Office,Los Angeles,California,West,Technology,Accessories,176.8,8,3
2017-07-16,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Storage,37.224,7,3
2017-07-16,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,Paper,20.016,7,3
2016-10-12,First Class,Home Office,New York City,New York,East,Technology,Phones,71.76,10,4
2016-10-12,First Class,Home Office,New York City,New York,East,Office Supplies,Paper,51.84,10,4
2016-10-12,First Class,Home Office,New York City,New York,East,Office Supplies,Art,19.9,10,4
2016-10-31,Standard Class,Corporate,Redlands,California,West,Office Supplies,Envelopes,14.28,10,4
2015-03-21,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,7.408,3,1
2015-03-21,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,Art,6.048,3,1
2018-11-06,Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,Storage,46.26,11,4
2018-07-06,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.946,7,3
2018-07-06,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,16.056,7,3
2018-06-24,Standard Class,Consumer,Akron,Ohio,East,Office Supplies,Paper,21.744,6,2
2015-08-03,First Class,Consumer,Denver,Colorado,West,Furniture,Tables,218.75,8,3
2015-08-03,First Class,Consumer,Denver,Colorado,West,Office Supplies,Appliances,2.6,8,3
2018-12-17,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,66.284,12,4
2018-06-03,Standard Class,Corporate,Franklin,Tennessee,South,Furniture,Furnishings,35.168,6,2
2018-12-09,Standard Class,Consumer,Whittier,California,West,Technology,Phones,444.768,12,4
2018-12-01,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,83.92,12,4
2018-12-01,Standard Class,Consumer,Saginaw,Michigan,Central,Technology,Phones,131.98,12,4
2018-12-01,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Binders,15.92,12,4
2018-12-01,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Fasteners,52.29,12,4
2018-12-01,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,Storage,91.99,12,4
2016-02-09,Second Class,Corporate,Dallas,Texas,Central,Technology,Accessories,20.8,2,1
2016-01-02,Standard Class,Corporate,Medina,Ohio,East,Office Supplies,Labels,23.68,1,1
2016-01-02,Standard Class,Corporate,Medina,Ohio,East,Furniture,Bookcases,452.45,1,1
2016-01-02,Standard Class,Corporate,Medina,Ohio,East,Technology,Phones,62.982,1,1
2016-01-02,Standard Class,Corporate,Medina,Ohio,East,Technology,Accessories,89.584,1,1
2017-10-28,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,93.06,10,4
2017-10-28,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,10,4
2016-12-24,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Fasteners,5.584,12,4
2016-12-24,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Paper,22.704,12,4
2016-12-24,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Binders,19.776,12,4
2016-12-24,First Class,Consumer,Dublin,Ohio,East,Furniture,Furnishings,72.704,12,4
2016-12-24,First Class,Consumer,Dublin,Ohio,East,Technology,Machines,479.988,12,4
2016-12-24,First Class,Consumer,Dublin,Ohio,East,Office Supplies,Art,27.168,12,4
2016-08-09,Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Art,2.2,8,3
2016-08-09,Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,Storage,21.98,8,3
2016-02-28,Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,161.568,2,1
2016-02-28,Standard Class,Consumer,Columbia,Tennessee,South,Furniture,Chairs,389.696,2,1
2015-09-13,Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,Binders,18.648,9,3
2018-04-07,Standard Class,Home Office,Tampa,Florida,South,Furniture,Tables,233.86,4,2
2018-04-07,Standard Class,Home Office,Tampa,Florida,South,Office Supplies,Binders,5.328,4,2
2018-04-07,Standard Class,Home Office,Tampa,Florida,South,Furniture,Furnishings,258.072,4,2
2018-11-12,Standard Class,Corporate,Santa Clara,California,West,Office Supplies,Paper,10.56,11,4
2017-06-04,Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Paper,25.92,6,2
2017-06-04,Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,419.68,6,2
2017-06-04,Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,11.688,6,2
2017-06-04,Second Class,Consumer,Chicago,Illinois,Central,Technology,Phones,31.984,6,2
2017-06-04,Second Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,177.225,6,2
2017-06-04,Second Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,4.044,6,2
2017-06-04,Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,Art,7.408,6,2
2015-06-01,Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Storage,166.72,6,2
2015-06-01,Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,47.88,6,2
2015-06-01,Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,Paper,25.92,6,2
2017-12-10,Second Class,Consumer,San Francisco,California,West,Furniture,Chairs,321.568,12,4
2017-09-11,Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,7.61,9,3
2017-12-10,First Class,Consumer,New York City,New York,East,Office Supplies,Storage,80.58,12,4
2017-12-10,First Class,Consumer,New York City,New York,East,Office Supplies,Envelopes,361.92,12,4
2016-11-28,Standard Class,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,12.132,11,4
2016-11-28,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,82.368,11,4
2016-11-28,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Storage,53.92,11,4
2018-12-01,Second Class,Consumer,New York City,New York,East,Technology,Accessories,20.37,12,4
2018-12-01,Second Class,Consumer,New York City,New York,East,Office Supplies,Storage,221.55,12,4
2018-12-01,Second Class,Consumer,New York City,New York,East,Office Supplies,Binders,17.52,12,4
2018-06-08,Standard Class,Corporate,Pasadena,Texas,Central,Office Supplies,Appliances,1.624,6,2
2017-06-06,Standard Class,Consumer,Chicago,Illinois,Central,Technology,Phones,328.224,6,2
2016-11-10,Standard Class,Consumer,Brentwood,California,West,Technology,Accessories,79.9,11,4
2018-06-16,Standard Class,Corporate,Chapel Hill,North Carolina,South,Office Supplies,Art,14.016,6,2
2017-01-22,Standard Class,Consumer,Morristown,New Jersey,East,Office Supplies,Fasteners,7.56,1,1
2018-12-09,Standard Class,Corporate,Cincinnati,Ohio,East,Office Supplies,Storage,37.208,12,4
2018-12-09,Standard Class,Corporate,Cincinnati,Ohio,East,Office Supplies,Envelopes,57.576,12,4
2016-07-30,First Class,Consumer,San Francisco,California,West,Technology,Accessories,209.93,7,3
2016-07-30,First Class,Consumer,San Francisco,California,West,Furniture,Furnishings,5.28,7,3
2016-07-30,First Class,Consumer,San Francisco,California,West,Office Supplies,Binders,10.92,7,3
2018-09-16,First Class,Corporate,Inglewood,California,West,Office Supplies,Paper,8.82,9,3
2018-09-16,First Class,Corporate,Inglewood,California,West,Office Supplies,Art,5.98,9,3
2018-10-13,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,11.648,10,4
2018-10-13,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,18.176,10,4
2018-10-13,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,59.712,10,4
2018-10-13,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Labels,24.84,10,4
2016-09-26,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,2.08,9,3
2016-09-26,Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Paper,141.76,9,3
2016-09-26,Standard Class,Consumer,Portland,Oregon,West,Technology,Accessories,239.8,9,3
2016-09-26,Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Paper,31.104,9,3
2017-12-18,Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Binders,254.058,12,4
2017-12-18,Second Class,Corporate,Tamarac,Florida,South,Office Supplies,Appliances,194.528,12,4
2017-11-20,Second Class,Home Office,Columbus,Ohio,East,Office Supplies,Fasteners,19.096,11,4
2017-11-20,Second Class,Home Office,Columbus,Ohio,East,Office Supplies,Labels,18.496,11,4
2017-11-20,Second Class,Home Office,Columbus,Ohio,East,Technology,Accessories,255.984,11,4
2017-11-20,Second Class,Home Office,Columbus,Ohio,East,Furniture,Bookcases,86.97,11,4
2015-12-26,First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,300.416,12,4
2015-12-26,First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Chairs,230.352,12,4
2015-12-26,First Class,Corporate,Colorado Springs,Colorado,West,Furniture,Furnishings,218.352,12,4
2015-12-26,First Class,Corporate,Colorado Springs,Colorado,West,Office Supplies,Binders,78.6,12,4
2015-12-26,First Class,Corporate,Colorado Springs,Colorado,West,Office Supplies,Fasteners,27.552,12,4
2017-10-28,Standard Class,Corporate,Belleville,New Jersey,East,Office Supplies,Paper,32.4,10,4
2017-10-28,Standard Class,Corporate,Belleville,New Jersey,East,Office Supplies,Paper,56.91,10,4
2017-10-28,Standard Class,Corporate,Belleville,New Jersey,East,Furniture,Furnishings,77.6,10,4
2017-10-28,Standard Class,Corporate,Belleville,New Jersey,East,Office Supplies,Binders,14.28,10,4
2018-11-19,Standard Class,Consumer,Chicago,Illinois,Central,Furniture,Tables,219.075,11,4
2016-05-04,Second Class,Corporate,New York City,New York,East,Furniture,Furnishings,26.8,5,2
2015-12-30,Standard Class,Corporate,Taylor,Michigan,Central,Office Supplies,Art,9.84,12,4
2015-06-01,Standard Class,Home Office,Lakewood,New Jersey,East,Office Supplies,Binders,45.48,6,2
2015-06-01,Standard Class,Home Office,Lakewood,New Jersey,East,Office Supplies,Art,289.2,6,2
2018-04-15,First Class,Consumer,Arlington,Virginia,South,Office Supplies,Art,4.89,4,2
2017-09-12,Second Class,Corporate,Arvada,Colorado,West,Furniture,Furnishings,15.136,9,3
2017-09-12,Second Class,Corporate,Arvada,Colorado,West,Furniture,Chairs,466.768,9,3
2017-09-12,Second Class,Corporate,Arvada,Colorado,West,Furniture,Furnishings,15.232,9,3
2017-09-12,Second Class,Corporate,Arvada,Colorado,West,Office Supplies,Labels,6.264,9,3
2015-09-27,Standard Class,Corporate,Hackensack,New Jersey,East,Furniture,Furnishings,87.54,9,3
2015-08-09,Standard Class,Corporate,Saint Petersburg,Florida,South,Technology,Phones,178.384,8,3
2015-08-09,Standard Class,Corporate,Saint Petersburg,Florida,South,Office Supplies,Paper,15.552,8,3
2015-12-28,First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,99.136,12,4
2015-11-04,Standard Class,Home Office,New York City,New York,East,Furniture,Chairs,135.882,11,4
2015-11-04,Standard Class,Home Office,New York City,New York,East,Technology,Phones,275.94,11,4
2015-11-04,Standard Class,Home Office,New York City,New York,East,Technology,Accessories,360.0,11,4
2015-11-04,Standard Class,Home Office,New York City,New York,East,Office Supplies,Storage,43.57,11,4
2015-09-19,Standard Class,Corporate,Long Beach,California,West,Office Supplies,Fasteners,7.16,9,3
2017-04-23,Standard Class,Corporate,Hesperia,California,West,Office Supplies,Binders,251.52,4,2
2017-04-23,Standard Class,Corporate,Hesperia,California,West,Technology,Accessories,99.99,4,2
2018-11-03,Second Class,Corporate,Murfreesboro,Tennessee,South,Furniture,Furnishings,15.992,11,4
2017-08-30,First Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,290.898,8,3
2017-08-30,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,54.224,8,3
2017-08-30,First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,100.24,8,3
